Name,Trait_1,Trait_2,Trait_3,Ability_Name,Description,Cost,IMG,,,,,,,,,,,
Ao Shin,Tempest,Dragon,,Lightning Rain,Ao Shin fires a barrage of 20 lightning strikes at random enemies. Each strike deals magic damage and drains 20 Mana from his target.,10,,,,,,,,,,,,
Bard,Guild,Bard,Mystic,Tempered Fate,"Bard sends magical energy toward the largest group of enemies, stunning them for a few seconds and causing them to take increased damage while stunned. If he hits at least 1 enemy, Bard dances in celebration.",10,,,,,,,,,,,,
Ornn,Tempest,Bruiser,Legend,Stampede,"Ornn summons an elemental that charges towards Ornn through the farthest enemy, dealing magic damage to enemies hit and slowing their Attack Speed by 50% for 2 seconds. When the elemental reaches Ornn, he redirects it towards another distant enemy, dealing magic damage to enemies hit and stunning them.",4,,,,,,,,,,,,
Yasuo,Mirage,Dragonmancer,Warrior,Sweeping Blade,"Yasuo shields himself for 2 seconds and dashes through his target, slashing nearby enemies for a % of his Attack Damage. Every third cast, his slash deals 250% damage, hits a larger area, and knocks up enemies for 1.5 seconds. If Yasuo hits only the last enemy left alive, he repeatedly slashes them until they die.",5,,,,,,,,,,,,
 Aurelion Sol,Astral,Dragon,Evoker,Black Hole,"Aurelion Sol now summons an unstable black hole underneath a random enemy. After 2 seconds it implodes, dealing magic damage to all enemies in the area and increasing their damage taken by 20% for 10 seconds. Black holes generated after 20 seconds of combat are larger and deal 50% more damage.",10,,,,,,,,,,,,
Daeja,Mirage,Dragon,,Windblast,"Passive: Daeja's attacks launch three barrages and deal bonus magic damage and reduce the target's Magic Resist by 5. Active: Daeja sends a wind blast toward the largest group of enemies, dealing magic damage.",8,,,,,,,,,,,,
Ezreal,Tempest,Swiftshot,,Mystic Shot,"Ezreal fires an energy bolt towards his target. The first enemy hit takes magic damage and grants Ezreal 10% bonus Attack Speed, stacking up to 5 times.",1,,,,,,,,,,,,
Hecarim,Ragewing,Cavalier,,Onslaught of Shadows,"Hecarim summons spectral riders that charge through his target, dealing magic damage and stunning enemies hit.",4,,,,,,,,,,,,
Idas,Shimmerscale,Dragon,Guardian,Golden Scales,"Idas hardens her scales for 2 seconds, reducing incoming damage. She then roars, healing herself and shielding other allies for 5 seconds. The shield grants 30% attack speed while it holds.",8,,,,,,,,,,,,
Illaoi ,Astral,Bruiser,,Cosmic Lash,"Illaoi slams her idol into the ground, summoning 3 tentacles that lash out, dealing magic damage to enemies in a cone. Illaoi steals 33% Armor and Magic Resist from each enemy hit for 5 seconds.",3,,,,,,,,,,,,
